"","Alpha.2.code","Alpha.3.code","Numeric.code","Latitude..average.","Longitude..average."
"153"," MA"," MAR",504,32,-5
"154"," MZ"," MOZ",508,-18.25,35
"155"," MM"," MMR",104,22,98
"156"," MM"," MMR",104,22,98
"157"," NA"," NAM",516,-22,17
"158"," NR"," NRU",520,-0.5333,166.9167
"159"," NP"," NPL",524,28,84
"160"," NL"," NLD",528,52.5,5.75
"161"," AN"," ANT",530,12.25,-68.75
"162"," NC"," NCL",540,-21.5,165.5
"163"," NZ"," NZL",554,-41,174
"164"," NI"," NIC",558,13,-85
"165"," NE"," NER",562,16,8
"166"," NG"," NGA",566,10,8
"167"," NU"," NIU",570,-19.0333,-169.8667
"168"," NF"," NFK",574,-29.0333,167.95
"169"," MP"," MNP",580,15.2,145.75
"170"," NO"," NOR",578,62,10
"171"," OM"," OMN",512,21,57
"172"," PK"," PAK",586,30,70
"173"," PW"," PLW",585,7.5,134.5
"174"," PS"," PSE",275,32,35.25
"175"," PA"," PAN",591,9,-80
"176"," PG"," PNG",598,-6,147
"177"," PY"," PRY",600,-23,-58
"178"," PE"," PER",604,-10,-76
"179"," PH"," PHL",608,13,122
"180"," PN"," PCN",612,-24.7,-127.4
"181"," PL"," POL",616,52,20
"182"," PT"," PRT",620,39.5,-8
"183"," PR"," PRI",630,18.25,-66.5
"184"," QA"," QAT",634,25.5,51.25
"185"," RE"," REU",638,-21.1,55.6
"186"," RO"," ROU",642,46,25
"187"," RU"," RUS",643,60,100
"188"," RU"," RUS",643,60,100
"189"," RW"," RWA",646,-2,30
"190"," SH"," SHN",654,-15.9333,-5.7
"191"," KN"," KNA",659,17.3333,-62.75
"192"," LC"," LCA",662,13.8833,-61.1333
"193"," PM"," SPM",666,46.8333,-56.3333
"194"," VC"," VCT",670,13.25,-61.2
"195"," VC"," VCT",670,13.25,-61.2
"196"," VC"," VCT",670,13.25,-61.2
"197"," WS"," WSM",882,-13.5833,-172.3333
"198"," SM"," SMR",674,43.7667,12.4167
"199"," ST"," STP",678,1,7
"200"," SA"," SAU",682,25,45
"201"," SN"," SEN",686,14,-14
"202"," RS"," SRB",688,44,21
"203"," SC"," SYC",690,-4.5833,55.6667
"204"," SL"," SLE",694,8.5,-11.5
"205"," SG"," SGP",702,1.3667,103.8
"206"," SK"," SVK",703,48.6667,19.5
"207"," SI"," SVN",705,46,15
"208"," SB"," SLB",90,-8,159
"209"," SO"," SOM",706,10,49
"210"," ZA"," ZAF",710,-29,24
"211"," GS"," SGS",239,-54.5,-37
"212"," ES"," ESP",724,40,-4
"213"," LK"," LKA",144,7,81
"214"," SD"," SDN",736,15,30
"215"," SR"," SUR",740,4,-56
"216"," SJ"," SJM",744,78,20
"217"," SZ"," SWZ",748,-26.5,31.5
"218"," SE"," SWE",752,62,15
"219"," CH"," CHE",756,47,8
"220"," SY"," SYR",760,35,38
"221"," TW"," TWN",158,23.5,121
"222"," TW"," TWN",158,23.5,121
"223"," TJ"," TJK",762,39,71
"224"," TZ"," TZA",834,-6,35
"225"," TH"," THA",764,15,100
"226"," TL"," TLS",626,-8.55,125.5167
"227"," TG"," TGO",768,8,1.1667
"228"," TK"," TKL",772,-9,-172
"229"," TO"," TON",776,-20,-175
"230"," TT"," TTO",780,11,-61
"231"," TT"," TTO",780,11,-61
"232"," TN"," TUN",788,34,9
"233"," TR"," TUR",792,39,35
"234"," TM"," TKM",795,40,60
"235"," TC"," TCA",796,21.75,-71.5833
"236"," TV"," TUV",798,-8,178
"237"," UG"," UGA",800,1,32
"238"," UA"," UKR",804,49,32
"239"," AE"," ARE",784,24,54
"240"," GB"," GBR",826,54,-2
"241"," US"," USA",840,38,-97
"242"," UM"," UMI",581,19.2833,166.6
"243"," UY"," URY",858,-33,-56
"244"," UZ"," UZB",860,41,64
"245"," VU"," VUT",548,-16,167
"246"," VE"," VEN",862,8,-66
"247"," VE"," VEN",862,8,-66
"248"," VN"," VNM",704,16,106
"249"," VN"," VNM",704,16,106
"250"," VG"," VGB",92,18.5,-64.5
"251"," VI"," VIR",850,18.3333,-64.8333
"252"," WF"," WLF",876,-13.3,-176.2
"253"," EH"," ESH",732,24.5,-13
"254"," YE"," YEM",887,15,48
"255"," ZM"," ZMB",894,-15,30
"256"," ZW"," ZWE",716,-20,30
